127.0.0.1 - - [29/Mar/2021:12:57:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:09 +0900] "GET /Grass_Farm/Index.jsp HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:09 +0900] "GET /Grass_Farm/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:09 +0900] "GET /Grass_Farm/image/index.jpg HTTP/1.1" 200 64662
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:22 +0900] "POST /Grass_Farm/LoginAction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:23 +0900] "GET /Grass_Farm/main.jsp HTTP/1.1" 200 7208
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:23 +0900] "GET /Grass_Farm/image/%EC%9E%94%EB%94%94%EA%B3%B5%EC%9E%91%EC%86%8C%20logo.png HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:23 +0900] "GET /Grass_Farm/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:23 +0900] "GET /Grass_Farm/js/highlight.pack.js HTTP/1.1" 200 39530
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:24 +0900] "GET /Grass_Farm/User.jsp HTTP/1.1" 200 8708
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:24 +0900] "GET /Grass_Farm/dist/jquery.calmosaic.min.css HTTP/1.1" 200 3334
0:0:0:0:0:0:0:1 - - [29/Mar/2021:12:57:25 +0900] "GET /Grass_Farm/image/grass.png HTTP/1.1" 200 66335
